dp,variable,label,value,reference_dp,reference_value,delta_vs_fine_pct
0.01,max_displacement_m,Desplazamiento máximo,0.3844616464031229,0.002,0.1283708025759754,199.4930612633522
0.008,max_displacement_m,Desplazamiento máximo,0.3932662840595416,0.002,0.1283708025759754,206.35181534117902
0.006,max_displacement_m,Desplazamiento máximo,0.1809070438816581,0.002,0.1283708025759754,40.925381980524314
0.005,max_displacement_m,Desplazamiento máximo,0.1422602116475297,0.002,0.1283708025759754,10.819757135454479
0.004,max_displacement_m,Desplazamiento máximo,0.120600704164611,0.002,0.1283708025759754,-6.05285489803317
0.003,max_displacement_m,Desplazamiento máximo,0.1204061077063786,0.002,0.1283708025759754,-6.204444242593992
0.002,max_displacement_m,Desplazamiento máximo,0.1283708025759754,0.002,0.1283708025759754,0.0
0.01,max_velocity_ms,Velocidad bloque máx.,0.4274720099386625,0.002,0.1483403953783324,188.1696579333116
0.008,max_velocity_ms,Velocidad bloque máx.,0.3939498763066185,0.002,0.1483403953783324,165.5715426009721
0.006,max_velocity_ms,Velocidad bloque máx.,0.2056068619623382,0.002,0.1483403953783324,38.604768740134105
0.005,max_velocity_ms,Velocidad bloque máx.,0.1565835447484824,0.002,0.1483403953783324,5.556914789883356
0.004,max_velocity_ms,Velocidad bloque máx.,0.1639694821697013,0.002,0.1483403953783324,10.53596139575329
0.003,max_velocity_ms,Velocidad bloque máx.,0.1427400708700959,0.002,0.1483403953783324,-3.7753199281647047
0.002,max_velocity_ms,Velocidad bloque máx.,0.1483403953783324,0.002,0.1483403953783324,0.0
0.01,max_flow_velocity_ms,Velocidad flujo máx.,2.066310824957632,0.002,1.6360764212278225,26.296718059596053
0.008,max_flow_velocity_ms,Velocidad flujo máx.,2.1519254100395364,0.002,1.6360764212278225,31.52963896543329
0.006,max_flow_velocity_ms,Velocidad flujo máx.,1.678112917290718,0.002,1.6360764212278225,2.569347954501329
0.005,max_flow_velocity_ms,Velocidad flujo máx.,1.6398450792487511,0.002,1.6360764212278225,0.2303473096996516
0.004,max_flow_velocity_ms,Velocidad flujo máx.,1.4642535551366231,0.002,1.6360764212278225,-10.50212959870492
0.003,max_flow_velocity_ms,Velocidad flujo máx.,1.5344839739194052,0.002,1.6360764212278225,-6.2095172322192305
0.002,max_flow_velocity_ms,Velocidad flujo máx.,1.6360764212278225,0.002,1.6360764212278225,0.0
0.01,max_water_height_m,Altura/cota agua máx.,0.12265,0.002,0.135854,-9.719257438132118
0.008,max_water_height_m,Altura/cota agua máx.,0.125553,0.002,0.135854,-7.582404640275593
0.006,max_water_height_m,Altura/cota agua máx.,0.121662,0.002,0.135854,-10.44650875204263
0.005,max_water_height_m,Altura/cota agua máx.,0.122277,0.002,0.135854,-9.993816891663112
0.004,max_water_height_m,Altura/cota agua máx.,0.128138,0.002,0.135854,-5.679626658029944
0.003,max_water_height_m,Altura/cota agua máx.,0.130311,0.002,0.135854,-4.080115418022283
0.002,max_water_height_m,Altura/cota agua máx.,0.135854,0.002,0.135854,0.0
0.01,max_rotation_deg,Rotación máxima,23.041243383257324,0.002,24.020656730028435,-4.077379556183146
0.008,max_rotation_deg,Rotación máxima,24.52615980360727,0.002,24.020656730028435,2.1044515112982007
0.006,max_rotation_deg,Rotación máxima,12.82170807591696,0.002,24.020656730028435,-46.62215850290042
0.005,max_rotation_deg,Rotación máxima,15.721797356773742,0.002,24.020656730028435,-34.54884463204628
0.004,max_rotation_deg,Rotación máxima,16.605090550875875,0.002,24.020656730028435,-30.871621298689533
0.003,max_rotation_deg,Rotación máxima,16.47035818505598,0.002,24.020656730028435,-31.432523389478195
0.002,max_rotation_deg,Rotación máxima,24.020656730028435,0.002,24.020656730028435,0.0
