condition,case_id,H_dam,z_surface_max,bed_z_at_gauge,h_local_max,u_x_max,u_mag_max,u_at_hmax,h_at_umax,max_h_u2,momentum_flux_proxy,Fr,time_hmax,time_umax,block_disp_pct_deq,gauge_names_used,gauge_x,gauge_y,gauge_z,notes,source_export
unblocked,hydro_unblocked_H0175,0.175,0.0492848,0.0,0.0492848,0.800601,0.8021245039872528,-0.274375,0.0102531,0.0095895583728027,9.589558372802726,2.5243759152476093,9.996011,2.180006,,V05;hmax03,5.25,0.5119,0.05,new run; primary transferable incident flow; remove block or keep outside interaction,hydraulic_characterization_phase1_complete_20260525
unblocked,hydro_unblocked_H0200,0.2,0.0539599,0.0,0.0539599,0.818224,0.8192563795014882,-0.28641,0.010392,0.0130833671338252,13.083367133825204,2.5626431896284254,9.99901,1.971004,,V05;hmax03,5.25,0.5119,0.05,new run; primary transferable incident flow; remove block or keep outside interaction,hydraulic_characterization_phase1_complete_20260525
unblocked,hydro_unblocked_H0210,0.21,0.0536393,0.0,0.0536393,0.864322,0.865344175775572,-0.287169,0.0124982,0.0140147067727642,14.014706772764262,2.468410179320624,9.999018,1.995023,,V05;hmax03,5.25,0.5119,0.05,new run; primary transferable incident flow; remove block or keep outside interaction,hydraulic_characterization_phase1_complete_20260525
unblocked,hydro_unblocked_H0225,0.225,0.059209,0.0,0.059209,0.896224,0.8977781503145378,-0.25518,0.0120215,0.0167527768012754,16.752776801275473,2.6097730115118285,9.999018,1.875012,,V05;hmax03,5.25,0.5119,0.05,new run; primary transferable incident flow; remove block or keep outside interaction,hydraulic_characterization_phase1_complete_20260525
with_block_ref,hydro_withblock_ref_H0175,0.175,0.066297,0.0,0.066297,0.777822,0.7787053742913169,0.00127523,0.01254,0.0075867885785973,7.58678857859736,2.217670148969465,9.993018,2.324019,1.2336256319369423,V05;hmax03,5.25,0.5119,0.05,new run; stable obstruction reference for interaction diagnostics,hydraulic_characterization_phase1_complete_20260525
with_block_ref,hydro_withblock_ref_H0200,0.2,0.068207,0.0,0.068207,0.758525,0.7609507086241855,0.00154607,0.0117384,0.0080097476676231,8.00974766762316,2.302654093736733,9.999021,2.030011,1.231651438362091,V05;hmax03,5.25,0.5119,0.05,new run; stable obstruction reference for interaction diagnostics,hydraulic_characterization_phase1_complete_20260525
with_block_ref,hydro_withblock_ref_H0210,0.21,0.0691859,0.0,0.0691859,0.86814,0.8699336150803232,-0.000144643,0.0105913,0.0079823139283414,7.98231392834148,2.6932745577214487,9.978003,1.922013,1.2326385281430798,V05;hmax03,5.25,0.5119,0.05,new run; stable obstruction reference for interaction diagnostics,hydraulic_characterization_phase1_complete_20260525
with_block_ref,hydro_withblock_ref_H0225,0.225,0.0714007,0.0,0.0714007,0.820841,0.8251133345170347,0.00190801,0.0151991,0.0102408487967186,10.240848796718648,2.237402912998008,9.998001,2.037006,1.2596415718042286,V05;hmax03,5.25,0.5119,0.05,new run; stable obstruction reference for interaction diagnostics,hydraulic_characterization_phase1_complete_20260525
unblocked,hydro2_unblocked_H01875,0.1875,0.0491923,0.0,0.0491923,0.872764,0.8733939771479403,-0.25588,0.0132581,0.0114548426127224,11.454842612722478,2.420035156693674,9.998021,2.221024,,V05;hmax03,5.25,0.5119,0.05,phase 2 interpolation; incident transferable flow,hydraulic_characterization_phase2_20260526
unblocked,hydro2_unblocked_H02050,0.205,0.0542107,0.0,0.0542107,0.828866,0.8297004130449767,-0.268781,0.0105999,0.0134536673311611,13.453667331161132,2.5703894944996635,9.99802,1.962015,,V05;hmax03,5.25,0.5119,0.05,phase 2 interpolation; incident transferable flow,hydraulic_characterization_phase2_20260526
unblocked,hydro2_unblocked_H02175,0.2175,0.0577395,0.0,0.0577395,0.930392,0.9313836192595188,-0.255899,0.0116074,0.0153286836327405,15.328683632740567,2.757172818356359,9.999003,1.895017,,V05;hmax03,5.25,0.5119,0.05,phase 2 interpolation; incident transferable flow,hydraulic_characterization_phase2_20260526
with_block_ref,hydro2_withblock_ref_H01875,0.1875,0.0664761,0.0,0.0664761,0.821534,0.8288226471611704,0.00771815,0.013155,0.0088785477785671,8.87854777856718,2.286891772023622,9.999006,2.196005,1.2326385281430798,V05;hmax03,5.25,0.5119,0.05,phase 2 interpolation; stable obstruction reference,hydraulic_characterization_phase2_20260526
with_block_ref,hydro2_withblock_ref_H02050,0.205,0.0680324,0.0,0.0680324,0.814305,0.8294058536868425,-0.000477305,0.0135697,0.0089979681023593,8.997968102359343,2.476275494468256,9.999023,2.11601,1.2316514383620971,V05;hmax03,5.25,0.5119,0.05,phase 2 interpolation; stable obstruction reference,hydraulic_characterization_phase2_20260526
with_block_ref,hydro2_withblock_ref_H02175,0.2175,0.0712828,0.0,0.0712828,0.870909,0.8778692218105668,-9.23201e-05,0.0144196,0.0109370140591775,10.937014059177509,2.315590015546747,9.968017,2.052014,1.2326385281430798,V05;hmax03,5.25,0.5119,0.05,phase 2 interpolation; stable obstruction reference,hydraulic_characterization_phase2_20260526
