dam_height,boulder_mass,n,fail_mu_values,stable_mu_values,max_fail_mu,min_stable_mu,bracket_width_mu
0.175,0.85,4,0.5600,"0.5720,0.5850,0.6200",0.56,0.572,0.0119999999999999
0.175,1.0,4,,"0.6000,0.6400,0.6600,0.6800",,0.6,
0.175,1.15,1,,0.6400,,0.64,
0.2,0.85,5,"0.6820,0.7800","0.8000,0.8200,0.8600",0.78,0.8,0.020000000000000018
0.2,1.0,10,"0.6000,0.6750,0.6780,0.6800,0.6806","0.6810,0.6820,0.6850,0.7000,0.7500",0.6806,0.681,0.00040000000000006697
0.2,1.15,2,,"0.6200,0.6800",,0.62,
0.2,1.25,2,,"0.6000,0.6750",,0.6,
0.21,0.85,3,"0.7400,0.8800",0.9000,0.88,0.9,0.020000000000000018
0.21,1.0,5,"0.7000,0.7400","0.7550,0.7700,0.8000",0.74,0.755,0.015000000000000013
0.21,1.15,2,,"0.7300,0.7600",,0.73,
0.225,0.85,2,"0.8000,0.8800",,0.88,,
0.225,1.0,7,"0.6800,0.7200,0.7600,0.8000,0.8600","0.8700,0.8800",0.86,0.87,0.010000000000000009
0.225,1.15,5,"0.7000,0.7400","0.7600,0.7800,0.8000",0.74,0.76,0.020000000000000018
0.225,1.25,4,0.6600,"0.7000,0.7400,0.8000",0.66,0.7,0.039999999999999925
